IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
2035181057;admin74;RANK1;4440445;4065837;374608;160;158;2;
1956671888;CherryIsland;RANK1;16614599;16614599;0;464623;464623;0;
1813428745;ronsasaki7;RANK1;9408931;9016871;392060;799;799;0;
1796244329;Nosumom;RANK1;1604382;1604382;0;206;206;0;
1755933105;Iztli;RANK1;7801301;7801301;0;496461;496461;0;
1688823604;Yemen2222;RANK1;116350048;116339175;10873;1994656;1991950;2706;
1657029264;nosubeer;RANK1;8256949;8256949;0;207684;207684;0;
1654674886;JJox;RANK1;956400;956400;0;1746;1746;0;
1650591693;kimkimu;RANK1;1462064;1462064;0;1624;1624;0;
1617334092;Nousuu;RANK1;1146839;1146839;0;15454;15454;0;
1432551166;Stone henge6;RANK1;928530;928530;0;1091;1091;0;
1431949922;nosunanda;RANK1;8010100;8010100;0;127341;127341;0;
1426475015;Mosutaro;RANK1;3947735;3947735;0;9502;9502;0;
1412987875;Nosutarooooo;RANK1;1183267;1183267;0;34405;34405;0;
1412729305;Nasutaro;RANK1;1131141;1131141;0;10826;10826;0;
1399281586;nowutarrou;RANK1;989733;989733;0;3915;3915;0;
1394591087;nosuu;RANK1;1414750;1414750;0;765;765;0;
1364522689;Maxxxsi;RANK1;766534;766534;0;562;562;0;
1364481370;Upyo;RANK1;789750;789750;0;1675;1675;0;
1358026511;NOSU TAROooo;RANK1;1338740;1338740;0;1417;1417;0;
1356103949;Nocchuu;RANK1;495648;495648;0;400;400;0;
1355685300;Jndnjs;RANK1;643515;643515;0;42;42;0;
1348372520;NOSUSIRO;RANK1;537495;537495;0;699;699;0;
1343867373;D Salyer03;RANK1;28185887;28185887;0;1846648;1846648;0;
1232922062;Lmymm902444;RANK1;394421902;393102693;1319209;4111354;4111354;0;
1103275869;Foodey JR;RANK1;88727833;88727833;0;25332;25332;0;
1102881704;JBO BANK;RANK1;76257263;76215778;41485;1961840;1961840;0;
1095730293;XHaydenX;RANK1;42740917;42740917;0;3680291;3680291;0;
900744728;NoLuckForYou;RANK5;24957437;24957437;0;5727;5727;0;
890690208;MiniBadger;RANK1;27352706;27352706;0;48223;48223;0;
818160510;TinyBadger;RANK1;59454016;59454016;0;127581;127581;0;
812542865;XNightMareXx;RANK1;226355810;226355810;0;11777482;11777482;0;
805913851;SrProdigio;RANK1;1816437089;1813772289;2664800;515318;515318;0;
753588056;CoCax999;RANK1;469264928;469264928;0;36271337;36270320;1017;
692551270;DraKarys;RANK1;460436516;459920016;516500;3988110;3988110;0;
650512310;Woodey JR;RANK1;164623962;164509278;114684;535965;535965;0;
643433916;Dudul;RANK1;1153079071;1152327291;751780;74816406;74816406;0;
605307246;cukur111;RANK1;685460032;684458248;1001784;7359329;7359329;0;
592233915;Onlyme68;RANK1;1225297626;1225297626;0;58798200;58798200;0;
471341346;Francozera;RANK1;762426011;1071007833;-308581822;123664809;119914512;3750297;
372248613;Ace Hayking;RANK1;2093734;2093734;0;104680;104680;0;
353552947;khent;RANK1;390023230;390023230;0;10084831;10084831;0;
