IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1942394281;goto5;RANK1;293918973;293419324;499649;45337;45337;0;
1269229262;Ave fenix a;RANK4;223758385;223566385;192000;4437932;4437932;0;
1098984189;chinchulin72;RANK4;308907597;306395872;2511725;9751038;9751038;0;
1066803555;Olli Stark;RANK4;88375037;88248834;126203;1470079;1470079;0;
926369902;HOOR60;RANK3;761406827;759766932;1639895;9902332;9902332;0;
906431954;OdiseoV;RANK3;564253355;564253355;0;27922534;27922534;0;
882703268;dariogrande1;RANK3;515907059;514783859;1123200;16616149;16616149;0;
858385000;Acuabb;RANK4;778819245;778819245;0;50844156;50844156;0;
831527482;john457;RANK1;266155874;0;0;9519965;0;0;
826891117;AAcua;RANK4;1400067606;1396891399;3176207;91843121;91843121;0;
813425406;BurNmaXx;RANK4;645356539;645356539;0;41086551;41086551;0;
810374253;Hh35;RANK1;345923576;345923576;0;8637509;8637509;0;
779995635;VileplumePy;RANK4;667463302;667463302;0;82835167;82835167;0;
719585767;ELDEX2;RANK3;492326388;492326388;0;31544885;31544885;0;
682216602;QuieroPapa;RANK4;491924416;491500416;424000;365278;365278;0;
659564848;Wakand4;RANK4;1813040279;1812338279;702000;374590964;374590964;0;
658651446;Miguel1280;RANK3;789141772;787460420;1681352;14824652;14824652;0;
654641598;the sniper 1;RANK3;749413853;749291527;122326;4782052;4782052;0;
644473590;Teancum;RANK4;483449306;483449306;0;11071158;11071158;0;
628454710;DarkGh0st;RANK4;911464061;911464061;0;15814427;15814427;0;
621819498;LK MIKE;RANK4;747755058;743284688;4470370;54384220;54384220;0;
611013677;LK PRESAGIOZ;RANK4;572851052;569200652;3650400;17884444;17884444;0;
595251194;Espiachino;RANK4;829283672;829283672;0;98271438;98271438;0;
589472506;Juancho10;RANK4;977419002;977419002;0;78510405;78510405;0;
580778867;NAirobi S;RANK3;378817464;378817464;0;3233247;3233247;0;
580744779;Kwan Hye;RANK3;277364783;277364783;0;1908403;1908403;0;
577228373;TIBIRITABARA;RANK3;703016815;703016815;0;12569816;12569816;0;
570180193;LauraEniith;RANK4;1569166456;1568601456;565000;44057826;44057826;0;
567428627;Selvin502;RANK4;855880264;854242264;1638000;67002696;67002696;0;
550385166;WALK1NG;RANK4;734346281;732929597;1416684;13887164;13800785;86379;
513263597;Nime Mires;RANK4;907504545;907504545;0;121563168;121563168;0;
512364163;DrunkenDodo;RANK4;674602258;674602258;0;15290690;15290690;0;
470854130;Ant0n32;RANK3;528908791;528908791;0;7011605;7011605;0;
470722979;Iriz0o;RANK3;168724080;168724080;0;9411863;9411863;0;
466967758;LvkAs;RANK4;626399319;626362359;36960;36898651;36898651;0;
461027482;G3MINIS 0;RANK5;1001942414;1001942414;0;52722613;52722613;0;
442681641;SC4RLETT;RANK4;1644128568;1640948568;3180000;336109127;336109127;0;
421722522;Riccos;RANK4;1506681239;1506681239;0;69186339;69186339;0;
421714919;Riccoss;RANK4;1472480417;1472480417;0;74699746;74699746;0;
