IGG ID;Name;Rank;Might;Old Might;Might Difference;Kills;Old Kills;Kills Difference;Old Name
1088629466;jaal;RANK3;411512807;411512807;0;8192635;8192635;0;
1057830662;HamburguerR;RANK1;119211181;0;0;61467931;0;0;
1011841157;Galileoooo0;RANK1;123226877;123226877;0;2466745;2466745;0;
1007564552;masharusa;RANK1;74410813;73066864;1343949;4404147;4404147;0;
978840133;AnDrU1989;RANK3;378643120;378583120;60000;9126024;9126024;0;
871872375;Lomiiel  RD;RANK1;56506141;0;0;3777958;0;0;
825052489;Arcaangel;RANK1;127047221;126989393;57828;17450228;17450228;0;
813324952;Muecho;RANK3;384813172;384813172;0;14387617;14387617;0;
808133330;MrGio1;RANK4;800199442;800199367;75;57854151;57854151;0;
786043906;Latino 05;RANK4;710568768;710568768;0;46714904;46714904;0;
773542855;ScarlettJeon;RANK3;163195250;163087730;107520;2681759;2681759;0;
768673795;Drackary;RANK3;1397770380;1397770380;0;296220644;296220644;0;
742285723;DAM3queteD0Y;RANK4;393243339;393216804;26535;6020178;6020178;0;
703391242;CoriOlga12;RANK4;1099095922;1099095922;0;4616097;4616097;0;
685749950;HOLLYWOOD 1;RANK4;1600213101;1600213101;0;327501388;327501388;0;
685455390;luxrey 022;RANK4;430385056;430400751;-15695;75518228;75518198;30;
683532126;Doof adimoC;RANK4;23247603;23247603;0;529639;529639;0;
683523854;Jossetty;RANK4;647221106;647221106;0;243759628;243759628;0;
671351901;Cuoredamore;RANK3;536010947;535950707;60240;6459536;6459536;0;
637666059;iehz;RANK4;1913313360;1913339624;-26264;160993324;160993324;0;
637661849;s h e i;RANK4;384483229;384513172;-29943;2531421;2531421;0;
629222784;Doow aredaM;RANK4;185770081;185770081;0;30244;30244;0;
617545910;Enots ardeiP;RANK4;217710434;217710434;0;33894047;33894047;0;
593107610;SinNombrexd;RANK2;1393088529;0;0;383599939;0;0;
587623473;DwSoMBrA;RANK4;1118908441;1118111865;796576;26287931;26287931;0;
573214536;CHILENDRINA;RANK1;358986219;0;0;40246137;0;0;
560661134;C Y B E R;RANK4;758648785;758648785;0;95180359;95180359;0;
553957423;lll  Sk  lll;RANK4;448524483;448524483;0;95468767;95468767;0;
533673376;Ero lareniM;RANK4;255864978;255587839;277139;35156542;35156542;0;
532815899;LareniM ErO;RANK4;24878160;24878160;0;72264;72264;0;
525583469;ll  Angel ll;RANK4;7220951;7220951;0;3604;3604;0;
501016740;joaki;RANK4;935093284;935093284;0;30859665;30859665;0;
500995004;Sackary;RANK5;2434117707;2432083350;2034357;7650948301;7650948301;0;
451159208;LinconlSky;RANK2;799402468;799402468;0;128397063;128397063;0;
